Name,Price,Price (Value),City,Full Location,Bedrooms,Area,Bathroom
5 Years Cash Based 5 Marla Beautiful House In Rehan garden phase 2 at main Ferozepur road Lahore.,"Rs.  13,500,000",13500000, Lahore,"Rehan Garden Phase 2, Lahore",4,5 Marla,4
5 Marla House For Sale A Block Slightly Used With Gass,"Rs.  19,800,000",19800000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,4
10 Marla House available for sale in Canal Garden Lahore,"Rs.  31,500,000",31500000, Lahore,"Canal Garden - Block H, Lahore",6,10 Marla,6
Marvelous 1 Kanal Spanish Villa For Sale,"Rs.  65,500,000",65500000, Lahore,"DHA Phase 7, Lahore",5,1 Kanal,6
2 Marla House For sale In Rs. 4000000 Only,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
3 Marla House For sale In Ferozepur Road Ferozepur Road,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
Spacious House Is Available In Ferozepur Road For sale,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
10 Marla House Ideally Situated In Punjab Coop Housing Society,"Rs.  35,000,000",35000000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,4
7 Marla Luxury house in Ghazi R0ad For Sale,"Rs.  9,900,000",9900000, Lahore,"Ghazi Road, Lahore",4,7 Marla,4
In Punjab Coop Housing Society House Sized 5 Marla For sale,"Rs.  17,200,000",17200000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
Luxurious Designer 10 Marla brand new House For Sale in Bahria Town Lahore,"Rs.  42,000,000",42000000, Lahore,"Bahria Town - Sector F, Lahore",5,10 Marla,6
3 Marla Brand New House For Sale,"Rs.  5,000,000",5000000, Lahore,"Aashiana Road, Lahore",3,3 Marla,3
House Is Available For sale In Punjab Coop Housing Society,"Rs.  18,500,000",18500000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,3
House For sale In Punjab Coop Housing Society,"Rs.  19,500,000",19500000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,3
"House For sale In Rs. 18,000,000","Rs.  18,000,000",18000000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,3
4 Marla New house available for sale,"Rs.  8,000,000",8000000, Lahore,"Ferozepur Road, Lahore",3,4 Marla,4
House Of 2.5 Marla In Aashiana Road For sale,"Rs.  4,000,000",4000000, Lahore,"Aashiana Road, Lahore",3,2 Marla,3
Buying A House In Bahria Town Phase 4?,"Rs.  48,000,000",48000000, Rawalpindi,"Bahria Town Phase 4, Rawalpindi",5,10 Marla,5
Get In Touch Now To Buy A 5 Marla House In Airport Housing Society,"Rs.  14,500,000",14500000, Rawalpindi,"Airport Housing Society, Rawalpindi",3,5 Marla,4
08 Marla Brand New Luxuary House For Sale In OLC C Block Bahia Orcahrd Raiwind Road Lahore.,"Rs.  24,500,000",24500000, Lahore,"Low Cost - Block C, Lahore",5,8 Marla,6
"3.33 Marla House Sale C Block Corner House 40 Fit Road , Main Kay Qareeb, Neo Furneshid House, Socaity New Lahore City.","Rs.  11,500,000",11500000, Lahore,"New Lahore City, Lahore",3,3 Marla,4
You Can Find A Gorgeous House For sale In Tulsa Road,"Rs.  22,500,000",22500000, Rawalpindi,"Tulsa Road, Rawalpindi",1,11 Marla,1
3 Marla Double Storey House For Sale,"Rs.  11,800,000",11800000, Lahore,"Samanabad, Lahore",3,3 Marla,3
Get In Touch Now To Buy A House In Aashiana Road,"Rs.  4,500,000",4500000, Lahore,"Aashiana Road, Lahore",3,3 Marla,3
Highly-coveted 2.5 Marla House Is Available In Awan Market For sale,"Rs.  4,000,000",4000000, Lahore,"Awan Market, Lahore",3,2 Marla,3
House For sale In Awan Market,"Rs.  4,500,000",4500000, Lahore,"Awan Market, Lahore",3,3 Marla,3
Get In Touch Now To Buy A House In Nishtar Colony,"Rs.  4,000,000",4000000, Lahore,"Nishtar Colony, Lahore",3,2 Marla,3
Centrally Located House In Ferozepur Road Is Available For sale,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
3 Marla House For sale Is Available In Nishtar Colony,"Rs.  4,500,000",4500000, Lahore,"Nishtar Colony, Lahore",3,3 Marla,3
House Of 2.5 Marla In Ferozepur Road Is Available,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
House Of 2.5 Marla Available In Ferozepur Road,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
You Can Find A Gorgeous House For sale In Ferozepur Road,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
5 Marla House Ideally Situated In Punjab Coop Housing Society,"Rs.  23,000,000",23000000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
House Of 5 Marla Available In Punjab Coop Housing Society,"Rs.  18,500,000",18500000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
sale A House In Punjab Coop Housing Society Prime Location,"Rs.  18,000,000",18000000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
Buying A House In Punjab Coop Housing Society?,"Rs.  17,500,000",17500000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
Your Search For House In Citi Housing Society Ends Here,"Rs.  31,000,000",31000000, Gujranwala,"Citi Housing Society, Gujranwala",6,10 Marla,6
Suigass Society Kanal Slightly Used Luxury Bungalow 2 Gate Corner Location Reasonable Price,"Rs.  68,500,000",68500000, Lahore,"Sui Gas Society Phase 1 - Block D, Lahore",5,1 Kanal,6
10 Marla house for sale dhurampura Mustafa abad Lahore,"Rs.  42,500,000",42500000, Lahore,"Dharampura, Lahore",6,10 Marla,1
House For Sale,"Rs.  35,535,333",35535333, Lahore,"Gulberg, Lahore",2,22 Marla,3
4 Marla Very Beautiful House For Sale At Zaheer Villaz,"Rs.  13,500,000",13500000, Lahore,"Zaheer Villas, Lahore",3,4 Marla,4
5 Marla House In Central Punjab Coop Housing Society For sale,"Rs.  19,500,000",19500000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
5 Marla House For sale In Punjab Coop Housing Society Punjab Coop Hous,"Rs.  19,000,000",19000000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
5 Marla House Is Available For sale,"Rs.  20,000,000",20000000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
A Perfect House Awaits You In Punjab Coop Housing Society Punjab Coop,"Rs.  35,000,000",35000000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
Get In Touch Now To Buy A House In Punjab Coop Housing Society,"Rs.  36,000,000",36000000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
Good 10 Marla House For sale In Punjab Coop Housing Society,"Rs.  35,500,000",35500000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
Own A House In 10 Marla Punjab Coop Housing Society,"Rs.  36,500,000",36500000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
10 Marla House Is Available For sale In Punjab Coop Housing Society,"Rs.  37,000,000",37000000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
House Sized 10 Marla Is Available For sale In Punjab Coop Housing Soci,"Rs.  32,500,000",32500000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
In Punjab Coop Housing Society House For sale Sized 10 Marla,"Rs.  37,500,000",37500000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
Your Search For House In Punjab Coop Housing Society Ends Here,"Rs.  32,500,000",32500000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
"10 Marla Brand New Luxury Spanish House available For Sale In Architect Engineers Society Prime Location Near UCP University, Abdul Sattar Eidi Road MotorwayM2, Shaukat Khanum Hospital","Rs.  35,000,000",35000000, Lahore,"Architects Engineers Housing Society, Lahore",5,10 Marla,6
"Full Furnished (21.5 marla) Exquisite , Stunning, Modern Corner House","Rs.  127,500,000",127500000, Lahore,"DHA Phase 5, Lahore",5,1 Kanal,6
8 MARLA BRAND NEW HOUSE NEAR PARK,"Rs.  24,000,000",24000000, Lahore,"Halloki Gardens - Block A, Lahore",5,8 Marla,5
3 marla brand new spanish house for sale in pcsir staff colony,"Rs.  11,000,000",11000000, Lahore,"PCSIR Staff Colony, Lahore",3,3 Marla,3
12 Marla House For Sale Divine Gardens Lahore - Block B,"Rs.  42,500,000",42500000, Lahore,"Divine Gardens - Block B, Lahore",4,12 Marla,5
Stunning 10 Marla House In Punjab Coop Housing Society Available,"Rs.  33,500,000",33500000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
"House For sale In Rs. 33,500,000","Rs.  33,500,000",33500000, Lahore,"Punjab Coop Housing Society, Lahore",4,10 Marla,5
Buy your ideal 1 Kanal House in a prime location of Punjab Coop Housin,"Rs.  50,000,000",50000000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
1 Kanal House In Punjab Coop Housing Society For sale At Good Location,"Rs.  51,000,000",51000000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
This Is Your Chance To Buy House In Punjab Coop Housing Society,"Rs.  52,000,000",52000000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
Spacious 1 Kanal House Available For sale In Punjab Coop Housing Socie,"Rs.  54,000,000",54000000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
Ready To Buy A House In Punjab Coop Housing Society Punjab Coop Housin,"Rs.  53,000,000",53000000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
1 Kanal House Available For sale In Punjab Coop Housing Society,"Rs.  55,000,000",55000000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
1 Kanal House For sale Is Available In Punjab Coop Housing Society,"Rs.  54,500,000",54500000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
Looking For A House In Punjab Coop Housing Society,"Rs.  56,000,000",56000000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
House Of 1 Kanal In Punjab Coop Housing Society For sale,"Rs.  54,500,000",54500000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
"A House Of 1 Kanal In Rs. 57,500,000","Rs.  57,500,000",57500000, Lahore,"Punjab Coop Housing Society, Lahore",5,1 Kanal,5
Buying A Prime Location House In State Life Housing Society?,"Rs.  21,000,000",21000000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
one kanal double story house with basement for sale on main boulevard in New city phase 2,"Rs.  65,000,000",65000000, Wah,"New City Phase 2, Wah",6,1 Kanal,6
3 Marla House For Sale,"Rs.  7,000,000",7000000, Lahore,"College Road, Lahore",1,3 Marla,2
10Marla Brand New House,"Rs.  34,500,000",34500000, Lahore,"LDA Avenue, Lahore",6,10 Marla,6
5 Marla Beautiful Slightly Used House at Excellent Location is For Sale in Bahria Orchard Phase 2 - Block G Lahore,"Rs.  14,000,000",14000000, Lahore,"Bahria Orchard Phase 2, Lahore",3,5 Marla,4
House For sale Situated In Central Park - Block F,"Rs.  26,000,000",26000000, Lahore,"Central Park - Block F, Lahore",4,10 Marla,5
5 Marla House Available In State Life Housing Society For sale,"Rs.  20,500,000",20500000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
Buying A Prime Location House In State Life Housing Society State Life,"Rs.  21,000,000",21000000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
Get This Amazing Prime Location 5 Marla House Available In State Life,"Rs.  18,500,000",18500000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
Ready To Buy A Prime Location House 5 Marla In State Life Housing Soci,"Rs.  19,500,000",19500000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
To sale You Can Find Spacious Prime Location House In State Life Housi,"Rs.  18,000,000",18000000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
Reasonably-Priced Prime Location 5 Marla House In State Life Housing S,"Rs.  18,000,000",18000000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
Centrally Located Prime Location House In State Life Housing Society I,"Rs.  18,000,000",18000000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
Find Your Ideal Prime Location House In State Life Housing Society Und,"Rs.  18,000,000",18000000, Lahore,"State Life Housing Society, Lahore",3,5 Marla,3
5 Marla House For sale In Kahna Kahna,"Rs.  11,000,000",11000000, Lahore,"Kahna, Lahore",5,5 Marla,5
House For Grabs In 5 Marla Kahna,"Rs.  6,800,000",6800000, Lahore,"Kahna, Lahore",2,5 Marla,2
5 Marla House Ideally Situated In Kahna,"Rs.  11,000,000",11000000, Lahore,"Kahna, Lahore",5,5 Marla,5
Get In Touch Now To Buy A House In Kahna,"Rs.  6,800,000",6800000, Lahore,"Kahna, Lahore",2,5 Marla,2
House Of 5 Marla Is Available For sale,"Rs.  6,800,000",6800000, Lahore,"Kahna, Lahore",2,5 Marla,2
10 Marla Brand New Beautiful House For Sale in Bahria Town Lahore.,"Rs.  46,800,000",46800000, Lahore,"Bahria Town - Sector E, Lahore",5,10 Marla,6
3.5 Marla Triple Stoery House Available For Sale Near Allah Ho Round About Johar Town Lahore,"Rs.  16,700,000",16700000, Lahore,"Johar Town Phase 1 - Block E, Lahore",4,3.5 Marla,4
3 Marla Luxury Villa for sale in Maryam Town on easy Installments,"Rs.  11,000,000",11000000, Lahore,"Maryam Town, Lahore",3,3 Marla,4
3 Marla brand new spanish house,"Rs.  10,500,000",10500000, Lahore,"Vital Homes DD, Lahore",3,3 Marla,3
Lahore Smart City Villas,"Rs.  26,500,000",26500000, Lahore,"Lahore Smart City, Lahore",3,5 Marla,3
10 Marla Beautiful And Well Constructed House At Excellent and Ideal Location Is For Sale In Bahria Orchard Phase 1 - Northern Lahore,"Rs.  28,000,000",28000000, Lahore,"Bahria Orchard Phase 1 - Northern, Lahore",5,10 Marla,6
5 Marla House Is Available For sale In Kahna,"Rs.  11,000,000",11000000, Lahore,"Kahna, Lahore",5,5 Marla,5
5 Marla House In Kahna Is Available,"Rs.  6,800,000",6800000, Lahore,"Kahna, Lahore",2,5 Marla,2
2.5 Marla House In Kahna For sale At Good Location,"Rs.  3,800,000",3800000, Lahore,"Kahna, Lahore",2,2 Marla,2
10 Marla House For sale In Kahna,"Rs.  11,000,000",11000000, Lahore,"Kahna, Lahore",5,10 Marla,5
Prime Location,"Rs.  370,000,000",370000000, Lahore,"DHA Phase 6, Lahore",5,2 Kanal,5
Prime Location,"Rs.  125,000,000",125000000, Lahore,"DHA Phase 1, Lahore",5,2 Kanal,5
Prime Location,"Rs.  155,000,000",155000000, Lahore,"DHA Phase 6, Lahore",5,1 Kanal,5
Prime Location,"Rs.  95,000,000",95000000, Lahore,"DHA Phase 6 - Block A, Lahore",5,1 Kanal,5
Prime Location,"Rs.  85,000,000",85000000, Lahore,"DHA Phase 5 - Block L, Lahore",5,1 Kanal,5
Prime Location,"Rs.  120,000,000",120000000, Lahore,"DHA Phase 5, Lahore",5,1 Kanal,5
Prime Location,"Rs.  109,000,000",109000000, Lahore,"DHA Phase 6 - Block L, Lahore",5,1 Kanal,5
Prime Location,"Rs.  140,000,000",140000000, Lahore,"DHA Phase 5, Lahore",5,1 Kanal,5
1 Kanal Luxury Eye Catching Full Basement Full Furnished Bungalow For Sale In DHA Phase 5 Prime Location,"Rs.  122,500,000",122500000, Lahore,"DHA Phase 5 - Block H, Lahore",5,1 Kanal,6
5 marla building full Marbal,"Rs.  20,000,000",20000000, Lahore,"Babu Sabu, Lahore",5,5 Marla,3
8 Marla House For sale Is Available In Airport Housing Society,"Rs.  22,000,000",22000000, Rawalpindi,"Airport Housing Society, Rawalpindi",5,8 Marla,6
"5 Marla brand new house for sale In Bahria Town Phase 8, Rawalpindi","Rs.  18,500,000",18500000, Rawalpindi,"Bahria Town Phase 8 - Ali Block, Rawalpindi",4,5 Marla,4
(ViP Location) 5.3 Double Story House Forsale,"Rs.  17,000,000",17000000, Rawalpindi,"Shalley Valley, Rawalpindi",4,5 Marla,4
Reserve A House Of 5 Marla Now In Al-Haram City,"Rs.  8,000,000",8000000, Rawalpindi,"Al-Haram City, Rawalpindi",6,5 Marla,4
Prime Location,"Rs.  115,000,000",115000000, Lahore,"DHA Phase 6, Lahore",5,1 Kanal,5
Prime Location,"Rs.  80,000,000",80000000, Lahore,"DHA Phase 8, Lahore",5,1 Kanal,5
Prime Location,"Rs.  55,000,000",55000000, Lahore,"DHA Phase 5, Lahore",4,10 Marla,4
House For sale Situated In DHA Phase 1,"Rs.  69,000,000",69000000, Lahore,"DHA Phase 1, Lahore",5,1 Kanal,5
"Change Your Address To DHA Phase 4, Lahore For A Reasonable Price Of Rs. 75000000","Rs.  75,000,000",75000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
1 Kanal Spacious House Is Available In DHA Phase 3 - Block XX For sale,"Rs.  115,000,000",115000000, Lahore,"DHA Phase 3 - Block XX, Lahore",5,1 Kanal,5
Gorgeous 1 Kanal House For sale Available In DHA Phase 3,"Rs.  78,000,000",78000000, Lahore,"DHA Phase 3, Lahore",5,1 Kanal,5
1 Kanal House Ideally Situated In DHA Phase 4,"Rs.  75,000,000",75000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
Prime Location,"Rs.  118,000,000",118000000, Lahore,"DHA Phase 6, Lahore",5,1 Kanal,5
10 Marla Hot Location House For Sale in Gulberg 3- E1 Block near Qadaf,"Rs.  45,000,000",45000000, Lahore,"Gulberg 3 - Block E1, Lahore",4,10 Marla,5
1 Kanal House Is Available In DHA Phase 1,"Rs.  69,000,000",69000000, Lahore,"DHA Phase 1, Lahore",5,1 Kanal,5
Highly-Desirable House Available In DHA Phase 4 For sale,"Rs.  75,000,000",75000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
Get In Touch Now To Buy A 1 Kanal House In DHA Phase 3 - Block XX,"Rs.  115,000,000",115000000, Lahore,"DHA Phase 3 - Block XX, Lahore",5,1 Kanal,5
1 Kanal House For sale In DHA Phase 3 Lahore,"Rs.  78,000,000",78000000, Lahore,"DHA Phase 3, Lahore",5,1 Kanal,5
Spacious House Is Available For sale In Ideal Location Of DHA Phase 4,"Rs.  75,000,000",75000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
"Prime Location 7 Marla House For sale In Rs. 21,500,000 Only","Rs.  21,500,000",21500000, Rawalpindi,"Airport Housing Society - Sector 4, Rawalpindi",5,7 Marla,5
7 Marla House For sale Is Available In Jeewan City - Phase 5,"Rs.  21,000,000",21000000, Sahiwal,"Jeewan City - Phase 5, Sahiwal",5,7 Marla,6
House Of 10 Marla Is Available For sale,"Rs.  47,000,000",47000000, Rawalpindi,"Bahria Town Phase 3, Rawalpindi",5,10 Marla,5
8 Marla Slightly Used Well Constructed House at Ideal Location is For Sale in Bahria Orchard Phase 2 - Block D Lahore,"Rs.  25,000,000",25000000, Lahore,"Bahria Orchard Phase 2, Lahore",4,8 Marla,4
10 Marla 50 ft Road House for sale,"Rs.  40,000,000",40000000, Lahore,"Johar Town, Lahore",5,10 Marla,6
prefab building portable office container shipping container porta cabins,"Rs.  1,400,000",1400000, Lahore,"DHA Phase 9 Prism - Block H, Lahore",1,480 Marla,1
A Palatial Residence For sale In DHA Phase 1 Lahore,"Rs.  69,000,000",69000000, Lahore,"DHA Phase 1, Lahore",5,1 Kanal,5
sale The Ideally Located House For An Incredible Price Of Pkr Rs. 75000000,"Rs.  75,000,000",75000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
Spanish House Lover,"Rs.  12,800,000",12800000, Lahore,"Bahria Nasheman - Iris, Lahore",3,5 Marla,5
Luxurious Designer 5 Marla brand new House For Sale in Bahria Town Lahore,"Rs.  20,500,000",20500000, Lahore,"Bahria Town - Overseas Enclave, Lahore",3,5 Marla,5
5 MARLA HOUSE FOR SALE PRIME LOCATION WALKING DISTANCE FROM PARK AND MASJID IN VERY REASONABLE PRICE,"Rs.  19,200,000",19200000, Lahore,"Bahria Town - Block CC, Lahore",3,5 Marla,4
2 Marla doubal story makan for sale,"Rs.  2,300,000",2300000, Rawalpindi,"Dhamyal Road, Rawalpindi",2,450 Marla,2
"7.9 Marla Modern House, Chanab Orchard Phase 1","Rs.  31,000,000",31000000, Punjab,"Gujrat, Punjab",5,7.9 Marla,6
Avail Yourself A Great 1 Kanal House In DHA Phase 3 - Block XX,"Rs.  115,000,000",115000000, Lahore,"DHA Phase 3 - Block XX, Lahore",5,1 Kanal,5
Spacious 1 Kanal House Available For sale In DHA Phase 3,"Rs.  78,000,000",78000000, Lahore,"DHA Phase 3, Lahore",5,1 Kanal,5
DHA Phase 4 House For sale Sized 1 Kanal,"Rs.  75,000,000",75000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
1 Kanal Beautiful House for Sale in GECHS A1 Township,"Rs.  48,500,000",48500000, Lahore,"Township - Sector A1, Lahore",5,1 Kanal,6
Modern Corner Style 10 Marla House With Extra Rooms In Phase 6,"Rs.  50,000,000",50000000, Lahore,"DHA Phase 6, Lahore",4,10 Marla,4
Brand New 5 Marla House For Sale Located In Phase 8 Block M Bahria Town Rawalpindi,"Rs.  20,000,000",20000000, Rawalpindi,"Bahria Town Phase 8 - Block M, Rawalpindi",1,5 Marla,1
A Perfect House Awaits You In Citi Housing Society Citi Housing Societ,"Rs.  25,000,000",25000000, Gujranwala,"Citi Housing Society, Gujranwala",6,10 Marla,6
Centrally Located House In DHA Phase 4 Is Available For sale,"Rs.  75,000,000",75000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
House Of 1 Kanal Available For sale In DHA Phase 3 - Block XX,"Rs.  115,000,000",115000000, Lahore,"DHA Phase 3 - Block XX, Lahore",5,1 Kanal,5
Affordable House Of 1 Kanal Is Available For sale,"Rs.  78,000,000",78000000, Lahore,"DHA Phase 3, Lahore",5,1 Kanal,5
1 Kanal Spacious House Is Available In DHA Phase 4 For sale,"Rs.  75,000,000",75000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
Get In Touch Now To Buy A House In Kahna,"Rs.  3,800,000",3800000, Lahore,"Kahna, Lahore",1,3 Marla,1
2.5 Marla House For sale In Kahna,"Rs.  3,500,000",3500000, Lahore,"Kahna, Lahore",1,2 Marla,1
Best Options For House Is Available For sale In Kahna,"Rs.  3,650,000",3650000, Lahore,"Kahna, Lahore",2,2 Marla,2
End Your Search For House Here And sale Now,"Rs.  3,500,000",3500000, Lahore,"Kahna, Lahore",1,2 Marla,1
A Stunning House Is Up For Grabs In Kahna Kahna,"Rs.  3,500,000",3500000, Lahore,"Kahna, Lahore",1,2 Marla,1
Ready To Buy A House 2.5 Marla In Kahna,"Rs.  3,700,000",3700000, Lahore,"Kahna, Lahore",2,2 Marla,2
House In Elite Town For sale,"Rs.  11,000,000",11000000, Lahore,"Elite Town, Lahore",5,5 Marla,5
A House Of 5 Marla In Elite Town,"Rs.  6,800,000",6800000, Lahore,"Elite Town, Lahore",2,5 Marla,2
Step Inside This Jaw-dropping Modern Mansion With A Double-height Lobby,"Rs.  67,500,000",67500000, Lahore,"DHA Phase 6, Lahore",5,1 Kanal,6
Beautiful house 5 marla triple story,"Rs.  30,000,000",30000000, Lahore,"Etihad Town Phase 2 - Block C, Lahore",5,5 Marla,5
1 Kanal House Is Available For Sale In DHA Phase 7 Block T Lahore,"Rs.  85,000,000",85000000, Lahore,"DHA Phase 7 - Block T, Lahore",5,1 Kanal,6
Model City 1 Society Boundary Wall Canal Road Faisalabad 7 *Marla Double Story Brand New,"Rs.  27,500,000",27500000, Faisalabad,"Model City 1, Faisalabad",5,7 Marla,6
Proudly Offer Most Beautiful Brand New House for Sale with 100 percent Original Pics At Prime Location in Dha Phase 7,"Rs.  40,000,000",40000000, Lahore,"DHA Phase 7 - Block U, Lahore",4,10 Marla,5
Buying A House In Elite Town Elite Town?,"Rs.  3,800,000",3800000, Lahore,"Elite Town, Lahore",2,2 Marla,2
Own A House In 10 Marla Elite Town,"Rs.  11,000,000",11000000, Lahore,"Elite Town, Lahore",5,10 Marla,5
House Is Available For sale In Elite Town,"Rs.  3,800,000",3800000, Lahore,"Elite Town, Lahore",1,3 Marla,1
2.5 Marla House In Stunning Elite Town Is Available For sale,"Rs.  3,500,000",3500000, Lahore,"Elite Town, Lahore",1,2 Marla,1
Centrally Located House In Elite Town Is Available For sale,"Rs.  3,650,000",3650000, Lahore,"Elite Town, Lahore",1,2 Marla,1
2.5 Marla House Available In Elite Town For sale,"Rs.  3,500,000",3500000, Lahore,"Elite Town, Lahore",1,2 Marla,1
To sale You Can Find Spacious House In Elite Town,"Rs.  3,700,000",3700000, Lahore,"Elite Town, Lahore",2,2 Marla,2
1 Kanal Brand New Modern Design Bungalow For Sale In DHA Phase 6 Top Location,"Rs.  80,500,000",80500000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,6
Brand New 2 Kanal Luxury House Available For Sale In DHA Phase 6 Lahore,"Rs.  220,000,000",220000000, Lahore,"DHA Phase 6, Lahore",6,40 Marla,6
Brand New Most Beautiful Lavish Bungalow For Sale,"Rs.  80,000,000",80000000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,6
Brand New Most Beautiful Lavish Bungalow For Sale,"Rs.  82,500,000",82500000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,6
Lavish Design Most Beautiful Lavish Bungalow For Sale,"Rs.  72,000,000",72000000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,6
Faisal Rasool Design Most Beautiful Lavish Bungalow For Sale,"Rs.  79,000,000",79000000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,6
Faisal Rasool Design Kanal Brand New Bungalow For Sale In DHA Phase 6,"Rs.  80,000,000",80000000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,6
Brand New House For Sale Dha Phase 6 B Block,"Rs.  162,500,000",162500000, Lahore,"DHA Phase 6 - Block B, Lahore",1,1 Kanal,1
Brand New 5 Marla House For Sale In L Block.,"Rs.  17,000,000",17000000, Lahore,"Khayaban-e-Amin - Block L, Lahore",1,5 Marla,1
Brand New 1 Kanal Bungalow For Sale In DHA PHASE 7,"Rs.  63,000,000",63000000, Lahore,"DHA Phase 7, Lahore",5,20 Marla,6
Stunning House Is Available For sale In Pak Arab Society Phase 1 - Blo,"Rs.  14,500,000",14500000, Lahore,"Pak Arab Society Phase 1 - Block C, Lahore",3,3 Marla,3
Ideal House For sale In Pak Arab Society Phase 2 - Block E,"Rs.  24,000,000",24000000, Lahore,"Pak Arab Society Phase 2 - Block E, Lahore",3,5 Marla,3
House For sale Situated In Pak Arab Society Phase 2 - Block E,"Rs.  23,000,000",23000000, Lahore,"Pak Arab Society Phase 2 - Block E, Lahore",3,5 Marla,3
5 Marla House In Stunning Pak Arab Housing Society Is Available For sa,"Rs.  20,000,000",20000000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Best Options For House Is Available For sale In Pak Arab Housing Socie,"Rs.  21,000,000",21000000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Ideal House Is Available For sale In Pak Arab Housing Society,"Rs.  20,500,000",20500000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
House Sized 5 Marla Is Available For sale In Pak Arab Housing Society,"Rs.  21,500,000",21500000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
Get Your Hands On House In Pak Arab Housing Society Best Area,"Rs.  22,000,000",22000000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
5 Marla House In Pak Arab Housing Society For sale,"Rs.  22,500,000",22500000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
"Corner house for sale in Shadman-1, Lahore","Rs.  107,500,000",107500000, Lahore,"Shadman 1, Lahore",6,22 Marla,6
