Name,Price,Price (Value),City,Distance,Distance (Value),Year,Category,Sub-Category
Subaru Charade Body Engine Alto 660 Cc 03178350585,"Rs.  500,000",500000, Punjab,"200,517 km",200517,1986,Cars,Subaru
Subaru pillo 2007/2013 Auto gear carBast  gli xli Honda  Suzuki mehran,"Rs.  1,265,000",1265000, Chakwal,"120,589 km",120589,2013,Cars,Subaru
Subaru 95 full genuine condition small car,"Rs.  320,000",320000, Islamabad,"50,000 km",50000,1995,Cars,Subaru
Subaru Pleo,"Rs.  1,950,000",1950000, Karachi,90 km,90,2014,Cars,Subaru
Subaru Pleo,"Rs.  1,950,000",1950000, Karachi,"158,000 km",158000,2014,Cars,Subaru
"Subaru Pleo 660cc,model 2008 import 2013.","Rs.  1,400,000",1400000, Rawalpindi,"115,000 km",115000,2008,Cars,Subaru
Subaru 1993,"Rs.  220,000",220000, Lahore,"123,456 km",123456,1993,Cars,Subaru
Isuzu Cult chill ac fimly use car,"Rs.  750,000",750000, Gujranwala,"1,596 km",1596,2003,Cars,Isuzu
Isuzu trooper 5 door 1991,"Rs.  1,225,000",1225000, Islamabad,"149,000 km",149000,1991,Cars,Isuzu
Isuzu D-Max 2003. Exchange Possible,"Rs.  2,800,000",2800000, Pakistan,"123,456 km",123456,2003,Cars,Isuzu
Isuzu D-Max 2003. exchange Possible,"Rs.  2,800,000",2800000, Mardan,"123,456 km",123456,2003,Cars,Isuzu
Isuzu mehran modal 2007 registered in Rawalpindi good condition,"Rs.  645,000",645000, Islamabad,"30,000 km",30000,2007,Cars,Isuzu
isuzu,"Rs.  12,200,000",12200000, Lahore,"25,000 km",25000,2022,Cars,Isuzu
Isuzu Dmax V-cross,"Rs.  8,499,000",8499000, Karachi,"111,000 km",111000,2019,Cars,Isuzu
Isuzu pick up v max automatic trasmission,"Rs.  10,000,000",10000000, Lahore,"35,000 km",35000,2019,Cars,Isuzu
Isuzu mahran all ok,"Rs.  950,000",950000, Sahiwal,"100,000 km",100000,2016,Cars,Isuzu
Daewoo Racer urgent sale,"Rs.  350,000",350000, Bahawalpur,"122,600 km",122600,1993,Cars,Daewoo
daewoo racer base grande 1.5,"Rs.  395,000",395000, Islamabad,123 km,123,1993,Cars,Daewoo
1993 Daewoo racer mint condition for sale/exchange,"Rs.  510,000",510000, Wah,"756,416 km",756416,1993,Cars,Daewoo
Daewoo Racer,"Rs.  330,000",330000, Rawalpindi,"100,000 km",100000,1992,Cars,Daewoo
Daewoo Racer 1.6 Toyota Gli engine,"Rs.  565,000",565000, Islamabad,"200,000 km",200000,1996,Cars,Daewoo
Daewoo Racer 93 model 96 registered lahore number,"Rs.  315,000",315000, Islamabad,"111,111 km",111111,1993,Cars,Daewoo
daewoo racer gti 93/2005,"Rs.  375,000",375000, Lahore,"12,345 km",12345,1993,Cars,Daewoo
all okay daewoo car 1992 madel,"Rs.  350,000",350000, Lahore,50 km,50,1992,Cars,Daewoo
Daewoo racer 1996,"Rs.  250,000",250000, Multan,"200,000 km",200000,1996,Cars,Daewoo
Daewoo,"Rs.  165,000",165000, Chiniot,"543,184 km",543184,1993,Cars,Daewoo
daewoo beautifull Car,"Rs.  435,000",435000, Islamabad,"1,234 km",1234,1993,Cars,Daewoo
Daewoo racer good condition 03334476712.,"Rs.  230,000",230000, Islamabad,"12,345 km",12345,1993,Cars,Daewoo
daewoo racer 1993 model working condition . . 10 /7,"Rs.  275,000",275000, Lahore,"100,000 km",100000,1993,Cars,Daewoo
Daewoo cielo,"Rs.  350,000",350000, Islamabad,"123,456 km",123456,1993,Cars,Daewoo
Daewoo racer,"Rs.  275,000",275000, Chakwal,"187,000 km",187000,1998,Cars,Daewoo
Daewoo Racer car for sale in islamabad|| car for sale on cheap rate,"Rs.  480,000",480000, Lala Musa,1 km,1,1998,Cars,Daewoo
Daewoo Racer 92 (Urgent sale),"Rs.  365,000",365000, Rawalpindi,"100,000 km",100000,1992,Cars,Daewoo
daewoo racer gti modal in good condition AC heter on koi kam nhi hany,"Rs.  375,000",375000, Lahore,"12,345 km",12345,1993,Cars,Daewoo
Daewoo Racer for sale,"Rs.  395,000",395000, Islamabad,"250,000 km",250000,1993,Cars,Daewoo
Daewoo for sale,"Rs.  470,000",470000, Taxila,"300,000 km",300000,1993,Cars,Daewoo
Daewoo Racer Genuine Condition,"Rs.  445,000",445000, Abbottabad,"25,000 km",25000,1993,Cars,Daewoo
Daewoo Racer 1993,"Rs.  335,000",335000, Lahore,"111,111 km",111111,1993,Cars,Daewoo
Daewoo Racer,"Rs.  620,000",620000, Islamabad,"132,000 km",132000,1993,Cars,Daewoo
daewoo racer,"Rs.  325,000",325000, Lahore,"1,000 km",1000,1993,Cars,Daewoo
Daewoo racer,"Rs.  450,000",450000, Sialkot,"300,000 km",300000,1993,Cars,Daewoo
Daewoo Racer,"Rs.  650,000",650000, Sialkot,"85,000 km",85000,1993,Cars,Daewoo
Daewoo Racer Silver Colour 03004230082,"Rs.  550,000",550000, Lahore,"200,000 km",200000,1992,Cars,Daewoo
Daewoo Racer 93 model,"Rs.  530,000",530000, Mardan,"85,000 km",85000,1993,Cars,Daewoo
daewoo racer,"Rs.  180,000",180000, Karachi,"100,000 km",100000,1993,Cars,Daewoo
Daewoo Racer car,"Rs.  380,000",380000, Islamabad,"175,000 km",175000,1993,Cars,Daewoo
Sports Car Daewoo Racer,"Rs.  480,000",480000, Karachi,"80,000 km",80000,1993,Cars,Daewoo
urgent sale. .  daewoo racer,"Rs.  260,000",260000, Karachi,"100,000 km",100000,1993,Cars,Daewoo
Daewoo Racer,"Rs.  430,000",430000, Chakwal,100 km,100,1993,Cars,Daewoo
Daewoo racer with 1300cc Toyota enjin gear Hundred persent,"Rs.  280,000",280000, Punjab,"153,456 km",153456,1993,Cars,Daewoo
Daewoo reacer for sale,"Rs.  425,000",425000, Islamabad,"200,000 km",200000,1993,Cars,Daewoo
daewoo racer urgent sale new bettry engin good candtion new Berty,"Rs.  420,000",420000, Lahore,786 km,786,1993,Cars,Daewoo
Daewoo Racer 1996 Officer's Scheme,"Rs.  470,000",470000, Rawalpindi,"183,400 km",183400,1996,Cars,Daewoo
Daewoo car,"Rs.  410,000",410000, Islamabad,"150,000 km",150000,1993,Cars,Daewoo
Daewoo racer model 93 recondition 98,"Rs.  280,000",280000, Karachi,"50,000 km",50000,1993,Cars,Daewoo
DAEWOO RACER Officer scheme wali zabardast,"Rs.  499,000",499000, Rawalpindi,"100,000 km",100000,1998,Cars,Daewoo
Daewoo Racer 1993 (Registered 1997),"Rs.  440,000",440000, Rawalpindi,123 km,123,1993,Cars,Daewoo
Daewoo Racer 1993 Model XLI Engine 1300 CC Automatic Transmission,"Rs.  550,000",550000, Islamabad,"999,999 km",999999,1993,Cars,Daewoo
Daewoo Racer 1993,"Rs.  360,000",360000, Swabi,"150,000 km",150000,1993,Cars,Daewoo
daewoo cielo 1993 model,"Rs.  450,000",450000, Islamabad,10 km,10,1993,Cars,Daewoo
Daewoo Racer Zabrdst condition,"Rs.  350,000",350000, Rawalpindi,"50,000 km",50000,1993,Cars,Daewoo
Daewoo Racer orignal condition,"Rs.  310,000",310000, Multan,"888,888 km",888888,1994,Cars,Daewoo
Daewoo Racer,"Rs.  365,000",365000, Hyderabad,"202,500 km",202500,1994,Cars,Daewoo
Daewoo racer,"Rs.  650,000",650000, Rawalpindi,"242,747 km",242747,1993,Cars,Daewoo
Daewoo Racer 1993 good condition for sale,"Rs.  500,000",500000, Wah,"177,176 km",177176,1993,Cars,Daewoo
Daewoo racer Automatic 1.5,"Rs.  550,000",550000, Lahore,"100,000 km",100000,1993,Cars,Daewoo
"Daewoo Racer For Sale ,Contact 03350518491","Rs.  450,000",450000, Rawalpindi,1 km,1,1997,Cars,Daewoo
Daewoo Racer modified front in Corolla 2000 for sale,"Rs.  430,000",430000, Muridike,"100,000 km",100000,1993,Cars,Daewoo
DAEWOO RACER,"Rs.  450,000",450000, Lahore,"120,000 km",120000,1993,Cars,Daewoo
Daewoo Racer for sale/exchange,"Rs.  450,000",450000, Rawalpindi,"500,000 km",500000,1993,Cars,Daewoo
daewoo Racer,"Rs.  280,000",280000, Karachi,"111,111 km",111111,1993,Cars,Daewoo
Daewoo Racer 1993 ( Islamabad register ),"Rs.  755,000",755000, Islamabad,"20,000 km",20000,1993,Cars,Daewoo
daewoo urgent sale only 340000,"Rs.  340,000",340000, Gojra,"300,000 km",300000,1993,Cars,Daewoo
Daewoo racer 450000,"Rs.  450,000",450000, Rawalpindi,"200,000 km",200000,1993,Cars,Daewoo
Daewoo Racer for sale. urgent sale,"Rs.  325,000",325000, Rawalpindi,"100,000 km",100000,1993,Cars,Daewoo
Daewoo Racer car for sale.,"Rs.  370,000",370000, Khyber Pakhtunkhwa,"110,000 km",110000,1993,Cars,Daewoo
Daewoo Cielo For Sale,"Rs.  450,000",450000, Rawalpindi,"100,000 km",100000,1993,Cars,Daewoo
Daewoo Racer For Sale,"Rs.  390,000",390000, Wah,"226,160 km",226160,1993,Cars,Daewoo
Daewoo Recer Good Running condition Home use car,"Rs.  275,000",275000, Karachi,"100,000 km",100000,1991,Cars,Daewoo
used daewoo,"Rs.  400,000",400000, Lahore,23 km,23,1992,Cars,Daewoo
Daewoo Racer,"Rs.  450,000",450000, Rawalpindi,"222,596 km",222596,1992,Cars,Daewoo
Daewoo cielo efi 1993,"Rs.  600,000",600000, Islamabad,"103,000 km",103000,1993,Cars,Daewoo
Daewoo Racer 1993 for Sale in Lahore,"Rs.  450,000",450000, Lahore,"10,000 km",10000,1993,Cars,Daewoo
Chevrolet 2009 family used car,"Rs.  850,000",850000, Punjab,"205,000 km",205000,2009,Cars,Chevrolet
Chevrolet Joy,"Rs.  550,000",550000, Islamabad,"120,896 km",120896,2006,Cars,Chevrolet
Automatic Chevrolet 03024537268,"Rs.  675,000",675000, Lahore,"1,234 km",1234,2005,Cars,Chevrolet
Chevrolet Exclusive (Korean Variant) 800cc,"Rs.  795,000",795000, Lahore,"155,000 km",155000,2005,Cars,Chevrolet
chevrolet joy 2007 model,"Rs.  720,000",720000, Lahore,"13,900 km",13900,2007,Cars,Chevrolet
Chevrolet joy,"Rs.  720,000",720000, Multan,"143,700 km",143700,2006,Cars,Chevrolet
chevrolet opteraa 2007 model white colour all original,"Rs.  1,650,000",1650000, Rawalpindi,1 km,1,2007,Cars,Chevrolet
Chevrolet Joy Car for sale,"Rs.  800,000",800000, Sialkot,"75,000 km",75000,2006,Cars,Chevrolet
Chevrolet Joy,"Rs.  700,000",700000, Lahore,2 km,2,2006,Cars,Chevrolet
Chevrolet joy in mint condition,"Rs.  920,000",920000, Wah,"300,000 km",300000,2006,Cars,Chevrolet
Chevrolet Optra X Corolla Automatic 2005/2008,"Rs.  1,090,000",1090000, Karachi,"73,000 km",73000,2005,Cars,Chevrolet
Chevrolet optra 2005,"Rs.  1,500,000",1500000, Karachi,"70,000 km",70000,2005,Cars,Chevrolet
Chevrolet Joy 1.0,"Rs.  785,000",785000, Lahore,"100,000 km",100000,2009,Cars,Chevrolet
Chevrolet gun mettalic,"Rs.  1,390,000",1390000, Kamalia,"183,000 km",183000,2008,Cars,Chevrolet
Chevrolet Matiz / Spark LS Exchange Possibility With Honda Reborn,"Rs.  1,050,000",1050000, Islamabad,"354,648 km",354648,2006,Cars,Chevrolet
Chevrolet Joy,"Rs.  715,000",715000, Lahore,"100,000 km",100000,2006,Cars,Chevrolet
Chevrolet Joy 2004,"Rs.  495,000",495000, Karachi,1 km,1,2004,Cars,Chevrolet
Chevrolet Optra 2005 wth GLi Engine,"Rs.  1,390,000",1390000, Gujrat,"176,000 km",176000,2005,Cars,Chevrolet
Chevrolet van for sale,"Rs.  2,850,000",2850000, Islamabad,"70,000 km",70000,1979,Cars,Chevrolet
chevrolet matiz model 2009 reg 2013,"Rs.  975,000",975000, Rawalpindi,"114,869 km",114869,2009,Cars,Chevrolet
Chevrolet Optra for sale,"Rs.  1,030,000",1030000, Rawalpindi,"160,000 km",160000,2005,Cars,Chevrolet
Chevrolet Joy for sale,"Rs.  1,000,000",1000000, Islamabad,"250,000 km",250000,2008,Cars,Chevrolet
"FOR CHEVROLET LOVERS IN BEAUTIFUL BLUE COLOUR MODEL 2008 AVERGE 15,16","Rs.  680,000",680000, Karachi,"1,234 km",1234,2008,Cars,Chevrolet
Chevrolet exclusive,"Rs.  850,000",850000, Islamabad,"12,345 km",12345,2004,Cars,Chevrolet
Chevrolet joy good condition,"Rs.  670,000",670000, Jhelum,"113,600 km",113600,2007,Cars,Chevrolet
urgent sale 2006 model Chevrolet joy.,"Rs.  750,000",750000, Islamabad,"200,000 km",200000,2006,Cars,Chevrolet
Chevrolet Exclusive 2004,"Rs.  560,000",560000, Karachi,"37,000 km",37000,2004,Cars,Chevrolet
Chevrolet Exclusive (Auto 660cc Engine),"Rs.  640,000",640000, Lahore,"10,000 km",10000,2003,Cars,Chevrolet
Chevrolet Joy 2006,"Rs.  670,000",670000, Taxila,"100,000 km",100000,2006,Cars,Chevrolet
Chevrolet Joy,"Rs.  800,000",800000, Rawalpindi,"100,000 km",100000,2006,Cars,Chevrolet
Chevrolet Spark LS Automatic transmission,"Rs.  1,080,000",1080000, Rawalpindi,"168,000 km",168000,2010,Cars,Chevrolet
Chevrolet joy 2009,"Rs.  1,100,000",1100000, Lahore,"80,000 km",80000,2009,Cars,Chevrolet
Chevrolet Exclusive 2004,"Rs.  580,000",580000, Karachi,"110,000 km",110000,2004,Cars,Chevrolet
chevrolet joy total seel pack chat piller bonet  digi gayan ac heater,"Rs.  765,000",765000, Islamabad,"135,000 km",135000,2006,Cars,Chevrolet
Chevrolet joy 2006 for sale. (ad Pura dekhain phir chat karain),"Rs.  490,000",490000, Hyderabad,"100,000 km",100000,2006,Cars,Chevrolet
Chevrolet Joy for sale,"Rs.  700,000",700000, Punjab,"2,500 km",2500,2008,Cars,Chevrolet
Chevrolet Optra in mint Condition,"Rs.  1,499,000",1499000, Karachi,"12,345 km",12345,2005,Cars,Chevrolet
Chevrolet exclusive perfect condition,"Rs.  530,000",530000, Karachi,"120,000 km",120000,2003,Cars,Chevrolet
Chevrolet optra 2005 automatic transmission,"Rs.  1,550,000",1550000, Karachi,"130,000 km",130000,2005,Cars,Chevrolet
Chevrolet Optra,"Rs.  1,500,000",1500000, Punjab,"151,000 km",151000,2005,Cars,Chevrolet
Chevrolet Joy 2007,"Rs.  880,000",880000, Faisalabad,"140,000 km",140000,2007,Cars,Chevrolet
chevrolet Joy,"Rs.  1,075,000",1075000, Rawalpindi,"160,000 km",160000,2006,Cars,Chevrolet
chevrolet joy 2005,"Rs.  650,000",650000, Chichawatni,"126,000 km",126000,2005,Cars,Chevrolet
chevrolet joy 1.0,"Rs.  810,000",810000, Lahore,"50,000 km",50000,2007,Cars,Chevrolet
Chevrolet Matiz / Spark Exchange Possibility With Honda Reborn,"Rs.  1,050,000",1050000, Rawalpindi,"325,386 km",325386,2006,Cars,Chevrolet
Chevrolet 2004,"Rs.  560,000",560000, Karachi,"37,000 km",37000,2004,Cars,Chevrolet
Chevrolet Exclusive LS 0.8,"Rs.  600,000",600000, Karachi,"85,000 km",85000,2004,Cars,Chevrolet
Chevrolet Optra 2006 Model For Sale,"Rs.  1,325,000",1325000, Gujrat,"150,000 km",150000,2006,Cars,Chevrolet
chevrolet joy (03004710501),"Rs.  725,000",725000, Lahore,"12,345 km",12345,2007,Cars,Chevrolet
Chevrolet Joy,"Rs.  645,000",645000, Rawalpindi,"115,000 km",115000,2006,Cars,Chevrolet
Chevrolet joy,"Rs.  950,000",950000, Lahore,"120,000 km",120000,2009,Cars,Chevrolet
Chevrolet joy home used car  2nd owner,"Rs.  1,125,000",1125000, Lahore,"100,500 km",100500,2008,Cars,Chevrolet
Chevrolet joy 2009,"Rs.  885,000",885000, Islamabad,"126,548 km",126548,2009,Cars,Chevrolet
Chevrolet Optra 2005 1300cc,"Rs.  1,095,000",1095000, Gujranwala,"167,000 km",167000,2005,Cars,Chevrolet
Honda Civic (Chevrolet Optra),"Rs.  1,350,000",1350000, Islamabad,"100,000 km",100000,2005,Cars,Chevrolet
Chevrolet exclusive EFI engine,"Rs.  725,000",725000, Lahore,"70,000 km",70000,2003,Cars,Chevrolet
Chevrolet,"Rs.  550,000",550000, Karachi,"22,780 km",22780,2005,Cars,Chevrolet
chevrolet joy auto metic,"Rs.  695,000",695000, Gujrat,1 km,1,2006,Cars,Chevrolet
Chevrolet optra 2005 modal,"Rs.  1,575,000",1575000, Gujranwala,"245,860 km",245860,2005,Cars,Chevrolet
Chevrolet spark LS for Sale,"Rs.  1,170,000",1170000, Rawalpindi,"12,345 km",12345,2010,Cars,Chevrolet
chevrolet cruze 1.8 2010,"Rs.  3,100,000",3100000, Lahore,"158,000 km",158000,2010,Cars,Chevrolet
chevrolet joy,"Rs.  590,000",590000, Karachi,"55,000 km",55000,2006,Cars,Chevrolet
Chevrolet Spark Model 2009,"Rs.  1,150,000",1150000, Lahore,"152,000 km",152000,2009,Cars,Chevrolet
Chevrolet Exclusive 2006 Automatic 660cc,"Rs.  790,000",790000, Karachi,"169,000 km",169000,2006,Cars,Chevrolet
Chevrolet Aveo 2009/2012,"Rs.  1,790,000",1790000, Islamabad,"227,000 km",227000,2009,Cars,Chevrolet
Chevrolet joy japani car 3/5 model better than cuore Mehran Alto culte,"Rs.  595,000",595000, Gujrat,"94,684 km",94684,2003,Cars,Chevrolet
Chevrolet Joy 2006,"Rs.  445,000",445000, Karachi,"100,000 km",100000,2006,Cars,Chevrolet
Chevrolet joy 2008 total jenuion,"Rs.  880,000",880000, Islamabad,"55,000 km",55000,2008,Cars,Chevrolet
Chevrolet joy,"Rs.  450,000",450000, Karachi,"100,000 km",100000,2005,Cars,Chevrolet
Chevrolet joy,"Rs.  1,100,000",1100000, Lahore,"121,345 km",121345,2009,Cars,Chevrolet
Chevrolet Exclusive 2004,"Rs.  475,000",475000, Karachi,"25,000 km",25000,2004,Cars,Chevrolet
Suzuki Every/ Mazda Scrum,"Rs.  1,680,000",1680000, Karachi,"90,000 km",90000,2018,Cars,Mazda
Mazda scrum manual 11/17 haf join,"Rs.  1,450,000",1450000, Gujranwala,"12,345 km",12345,2017,Cars,Mazda
every wagon rabta number 03071912818 Mazda company,"Rs.  1,250,000",1250000, Lahore,"10,000 km",10000,2015,Cars,Mazda
Mazda scrum 2016/21/23,"Rs.  2,375,000",2375000, Sialkot,"115,000 km",115000,2016,Cars,Mazda
MAZDA CAROL GL same as Suzuki Alto,"Rs.  3,100,000",3100000, Karachi,"10,600 km",10600,2020,Cars,Mazda
Mazda scrum 2018,"Rs.  2,325,000",2325000, Karachi,"204,000 km",204000,2018,Cars,Mazda
Mazda Scrum Wagon (imported in 2017) purple colour,"Rs.  1,900,000",1900000, Pirmahal,"50,000 km",50000,2017,Cars,Mazda
Mazda Ri 1988 model,"Rs.  950,000",950000, Lahore,"26,000 km",26000,1988,Cars,Mazda
Mazda 808 77 model golden colour for sale.,"Rs.  600,000",600000, Rawalpindi,123 km,123,1977,Cars,Mazda
Mazda scrum For sale 13\18 Total genuine,"Rs.  1,675,000",1675000, Gujranwala,"75,000 km",75000,2018,Cars,Mazda
Mazda scrum 12-17 model,"Rs.  1,550,000",1550000, Lahore,"93,000 km",93000,2017,Cars,Mazda
Mazda scrum wagon full option,"Rs.  1,640,000",1640000, Bhimber,"100,000 km",100000,2012,Cars,Mazda
Mazda scrum 2003/2007,"Rs.  710,000",710000, Karachi,"999,999 km",999999,2003,Cars,Mazda
Mazda Demio 2011 Fully loaded luxury car Automatic,"Rs.  1,434,000",1434000, Karachi,"75,000 km",75000,2011,Cars,Mazda
Mazda Rx-7 Fb Savanna. Sports car Available for Sale.,"Rs.  700,000",700000, Karachi,"123,456 km",123456,1977,Cars,Mazda
Mazda Flair 2020,"Rs.  3,495,000",3495000, Rawalpindi,"17,000 km",17000,2020,Cars,Mazda
mazda scrum same like Every,"Rs.  1,390,000",1390000, Wah,"129,123 km",129123,2015,Cars,Mazda
Mazda Flair,"Rs.  1,900,000",1900000, Sargodha,"123,000 km",123000,2013,Cars,Mazda
Mazda 626 project driftcar,"Rs.  500,000",500000, Karachi,"136,164 km",136164,1981,Cars,Mazda
MAZDA RX-8,"Rs.  2,350,000",2350000, Karachi,"117,000 km",117000,2003,Cars,Mazda
Mazda 1000 rayar wheel drive,"Rs.  375,000",375000, Islamabad,15 km,15,1970,Cars,Mazda
selling mazda rx8,"Rs.  2,700,000",2700000, Karachi,"8,000 km",8000,2007,Cars,Mazda
Mazda wegon,"Rs.  425,000",425000, Vehari,"205,424 km",205424,2023,Cars,Mazda
Mazda 626 (Drift Project),"Rs.  400,000",400000, Karachi,"100,000 km",100000,1981,Cars,Mazda
Mazda808 Station Wagon 1974,"Rs.  300,000",300000, Mansehra,"200,000 km",200000,1974,Cars,Mazda
Mazda Carol (aluto shape)for sale,"Rs.  2,450,000",2450000, Wah,"123,000 km",123000,2015,Cars,Mazda
Mazda scrum,"Rs.  2,575,000",2575000, Karachi,"90,000 km",90000,2018,Cars,Mazda
Mazda Flair XS 2019,"Rs.  3,600,000",3600000, Lahore,"88,762 km",88762,2019,Cars,Mazda
MAZDA CAROL,"Rs.  2,250,000",2250000, Islamabad,"79,500 km",79500,2013,Cars,Mazda
Mazda 929,"Rs.  600,000",600000, Peshawar,"100,000 km",100000,1967,Cars,Mazda
Mazda Carol GS4,"Rs.  2,250,000",2250000, Islamabad,85 km,85,2013,Cars,Mazda
12/18 mazda scrum in very good condition family use daba.,"Rs.  1,660,000",1660000, Sialkot,"90,000 km",90000,2018,Cars,Mazda
"mazda 323, vintage car 4 wheeler","Rs.  270,000",270000, Karachi,"20,000 km",20000,1979,Cars,Mazda
assalamualaikum dear sir I am selling Mazda scram manwal 03142561643,"Rs.  1,200,000",1200000, Karachi,"146,000 km",146000,2010,Cars,Mazda
mazda carol,"Rs.  1,820,000",1820000, Peshawar,"100,000 km",100000,2012,Cars,Mazda
MAZDA scrum total genuine 2013/19/20,"Rs.  1,690,000",1690000, Lahore,"150,000 km",150000,2020,Cars,Mazda
Mazda Carol,"Rs.  3,025,000",3025000, Karachi,"21,000 km",21000,2019,Cars,Mazda
Mazda 323,"Rs.  350,000",350000, Lahore,"56,000 km",56000,1982,Cars,Mazda
Mazda axela 1.5 Islamabad register,"Rs.  1,725,000",1725000, Faisalabad,"125,000 km",125000,2014,Cars,Mazda
total janiyanmazda sacrum manwal gaar,"Rs.  1,750,000",1750000, Punjab,"123,456 km",123456,2019,Cars,Mazda
Mazda Scrum,"Rs.  1,280,000",1280000, Karachi,"9,000 km",9000,2010,Cars,Mazda
Mazda Scrum like Suzuki Every clipper carry van,"Rs.  1,560,000",1560000, Karachi,"153,000 km",153000,2018,Cars,Mazda
Mazda Flair Wagon r Japanese Model 2014  registration  2018 Islamabad,"Rs.  2,300,000",2300000, Rawalpindi,"96,000 km",96000,2014,Cars,Mazda
Mazda carol,"Rs.  2,500,000",2500000, Peshawar,"28,000 km",28000,2016,Cars,Mazda
